Date,Instrument Name,Symbol,Expiry Date,Option Type,Strike Price,Open,High,Low,Close,Previous Close,Volume(Lots),Volume(In 000's),Value(Lacs),Open Interest(Lots)
11-Aug-25,FUTCOM,ALUMINI      ,29-Aug-25,-,0,254.4,254.85,252.2,252.35,253.9,887,887.000 KGS  ,2246.42,781
11-Aug-25,FUTCOM,ALUMINI      ,30-Sep-25,-,0,255.2,255.85,253.55,253.7,255.2,96,96.000 KGS  ,244.1,232
11-Aug-25,FUTCOM,ALUMINI      ,31-Oct-25,-,0,254.1,254.4,254.1,254.25,255.1,2,2.000 KGS  ,5.09,13
11-Aug-25,FUTCOM,ALUMINI      ,28-Nov-25,-,0,,,,256.15,257.55,0,0.000 KGS  ,0,0
11-Aug-25,FUTCOM,ALUMINI      ,31-Dec-25,-,0,,,,257.55,258.9,0,0.000 KGS  ,0,0
11-Aug-25,FUTCOM,ALUMINIUM    ,29-Aug-25,-,0,254.5,254.95,252.2,252.35,254.15,802,4010.000 KGS  ,10147.32,3926
11-Aug-25,FUTCOM,ALUMINIUM    ,30-Sep-25,-,0,255.3,255.9,253.3,253.45,255.05,325,1625.000 KGS  ,4144.94,511
11-Aug-25,FUTCOM,ALUMINIUM    ,31-Oct-25,-,0,256.9,256.9,254.25,254.5,256.9,665,3325.000 KGS  ,8470.39,10
11-Aug-25,FUTCOM,ALUMINIUM    ,28-Nov-25,-,0,,,,255.45,256.7,0,0.000 KGS  ,0,0
11-Aug-25,FUTCOM,ALUMINIUM    ,31-Dec-25,-,0,,,,256.6,257.6,0,0.000 KGS  ,0,0
11-Aug-25,FUTCOM,CARDAMOM     ,29-Aug-25,-,0,2482,2600,2482,2520,2585,26,2.600 KGS  ,65.68,87
11-Aug-25,FUTCOM,CARDAMOM     ,30-Sep-25,-,0,2401,2401,2344,2373,2440,11,1.100 KGS  ,26.13,65
11-Aug-25,FUTCOM,CARDAMOM     ,31-Oct-25,-,0,,,,2826,2826,0,0.000 KGS  ,0,4
11-Aug-25,FUTCOM,CARDAMOM     ,28-Nov-25,-,0,,,,2950,2950,0,0.000 KGS  ,0,0
11-Aug-25,FUTCOM,CARDAMOM     ,31-Dec-25,-,0,,,,3000,3000,0,0.000 KGS  ,0,0
11-Aug-25,OPTFUT,COPPER       ,22-Aug-25,PE,830,,,,0.01,0.01,0,0.000 KGS  ,0,1
11-Aug-25,OPTFUT,COPPER       ,22-Aug-25,CE,860,,,,25.43,29.93,0,0.000 KGS  ,0,1
11-Aug-25,OPTFUT,COPPER       ,22-Aug-25,CE,815,,,,69.67,74.13,0,0.000 KGS  ,0,0
11-Aug-25,OPTFUT,COPPER       ,22-Aug-25,PE,870,1.81,2.38,1.5,1.92,2.08,58,145.000 KGS  ,1264.19,139
11-Aug-25,OPTFUT,COPPER       ,22-Aug-25,PE,940,,,,55.11,50.65,0,0.000 KGS  ,0,0
11-Aug-25,OPTFUT,COPPER       ,22-Aug-25,CE,885,7.52,7.52,7.5,7.51,8.83,2,5.000 KGS  ,44.63,8
11-Aug-25,OPTFUT,COPPER       ,22-Aug-25,CE,920,1.55,1.55,0.71,1.08,1.41,6,15.000 KGS  ,138.16,55
11-Aug-25,OPTFUT,COPPER       ,22-Aug-25,CE,890,8,8,5.05,5.31,8.2,83,207.500 KGS  ,1858.97,92
11-Aug-25,OPTFUT,COPPER       ,22-Aug-25,PE,850,0.5,0.5,0.32,0.44,1,3,7.500 KGS  ,63.78,65
11-Aug-25,OPTFUT,COPPER       ,22-Aug-25,PE,925,,,,40.23,36.02,0,0.000 KGS  ,0,0
11-Aug-25,OPTFUT,COPPER       ,22-Aug-25,PE,900,15.82,16.69,15.82,16.47,17.43,4,10.000 KGS  ,91.65,43
11-Aug-25,OPTFUT,COPPER       ,22-Aug-25,PE,810,,,,0.01,0.01,0,0.000 KGS  ,0,0
